Name_to_Use	DownloadLink	DownloadCommand	ProteinFilename
Theileria_parva	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000001949/UP000001949_5875.fasta.gz	echo 'Downloading proteome for Theileria_parva.' && curl 'https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000001949/UP000001949_5875.fasta.gz' > Theileria_parva_UniProtRefProteome.fasta.gz && gunzip Theileria_parva_UniProtRefProteome.fasta.gz && echo Done!	Theileria_parva_UniProtRefProteome.fasta
Plasmodium_berghei	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000074855/UP000074855_5823.fasta.gz	echo 'Downloading proteome for Plasmodium_berghei.' && curl 'https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000074855/UP000074855_5823.fasta.gz' > Plasmodium_berghei_UniProtRefProteome.fasta.gz && gunzip Plasmodium_berghei_UniProtRefProteome.fasta.gz && echo Done!	Plasmodium_berghei_UniProtRefProteome.fasta
Cryptosporidium_muris	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000001460/UP000001460_441375.fasta.gz	echo 'Downloading proteome for Cryptosporidium_muris.' && curl 'https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000001460/UP000001460_441375.fasta.gz' > Cryptosporidium_muris_UniProtRefProteome.fasta.gz && gunzip Cryptosporidium_muris_UniProtRefProteome.fasta.gz && echo Done!	Cryptosporidium_muris_UniProtRefProteome.fasta
Cryptosporidium_parvum	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000006726/UP000006726_353152.fasta.gz	echo 'Downloading proteome for Cryptosporidium_parvum.' && curl 'https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000006726/UP000006726_353152.fasta.gz' > Cryptosporidium_parvum_UniProtRefProteome.fasta.gz && gunzip Cryptosporidium_parvum_UniProtRefProteome.fasta.gz && echo Done!	Cryptosporidium_parvum_UniProtRefProteome.fasta
Gregarina_niphandrodes	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000019763/UP000019763_110365.fasta.gz	echo 'Downloading proteome for Gregarina_niphandrodes.' && curl 'https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000019763/UP000019763_110365.fasta.gz' > Gregarina_niphandrodes_UniProtRefProteome.fasta.gz && gunzip Gregarina_niphandrodes_UniProtRefProteome.fasta.gz && echo Done!	Gregarina_niphandrodes_UniProtRefProteome.fasta
Stentor_coeruleus	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000187209/UP000187209_5963.fasta.gz	echo 'Downloading proteome for Stentor_coeruleus.' && curl 'https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000187209/UP000187209_5963.fasta.gz' > Stentor_coeruleus_UniProtRefProteome.fasta.gz && gunzip Stentor_coeruleus_UniProtRefProteome.fasta.gz && echo Done!	Stentor_coeruleus_UniProtRefProteome.fasta
Tetrahymena_thermophila	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000009168/UP000009168_312017.fasta.gz	echo 'Downloading proteome for Tetrahymena_thermophila.' && curl 'https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000009168/UP000009168_312017.fasta.gz' > Tetrahymena_thermophila_UniProtRefProteome.fasta.gz && gunzip Tetrahymena_thermophila_UniProtRefProteome.fasta.gz && echo Done!	Tetrahymena_thermophila_UniProtRefProteome.fasta
Paramecium_tetraurelia	https://ftp.ebi.ac.uk/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000000600/UP000000600_5888.fasta.gz	echo 'Downloading proteome for Paramecium_tetraurelia.' && curl 'https://ftp.ebi.ac.uk/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000000600/UP000000600_5888.fasta.gz' > Paramecium_tetraurelia_UniProtRefProteome.fasta.gz && gunzip Paramecium_tetraurelia_UniProtRefProteome.fasta.gz && echo Done!	Paramecium_tetraurelia_UniProtRefProteome.fasta
Oxytricha_trifallax	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000006077/UP000006077_1172189.fasta.gz	echo 'Downloading proteome for Oxytricha_trifallax.' && curl 'https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000006077/UP000006077_1172189.fasta.gz' > Oxytricha_trifallax_UniProtRefProteome.fasta.gz && gunzip Oxytricha_trifallax_UniProtRefProteome.fasta.gz && echo Done!	Oxytricha_trifallax_UniProtRefProteome.fasta
Vitrella_brassicaformis	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000041254/UP000041254_1169540.fasta.gz	echo 'Downloading proteome for Vitrella_brassicaformis.' && curl 'https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000041254/UP000041254_1169540.fasta.gz' > Vitrella_brassicaformis_UniProtRefProteome.fasta.gz && gunzip Vitrella_brassicaformis_UniProtRefProteome.fasta.gz && echo Done!	Vitrella_brassicaformis_UniProtRefProteome.fasta
Perkinsus_marinus	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000007800/UP000007800_423536.fasta.gz	echo 'Downloading proteome for Perkinsus_marinus.' && curl 'https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000007800/UP000007800_423536.fasta.gz' > Perkinsus_marinus_UniProtRefProteome.fasta.gz && gunzip Perkinsus_marinus_UniProtRefProteome.fasta.gz && echo Done!	Perkinsus_marinus_UniProtRefProteome.fasta
Entamoeba_histolytica	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000001926/UP000001926_294381.fasta.gz	echo 'Downloading proteome for Entamoeba_histolytica.' && curl 'https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000001926/UP000001926_294381.fasta.gz' > Entamoeba_histolytica_UniProtRefProteome.fasta.gz && gunzip Entamoeba_histolytica_UniProtRefProteome.fasta.gz && echo Done!	Entamoeba_histolytica_UniProtRefProteome.fasta
Acanthamoeba_castellanii	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000011083/UP000011083_1257118.fasta.gz	echo 'Downloading proteome for Acanthamoeba_castellanii.' && curl 'https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000011083/UP000011083_1257118.fasta.gz' > Acanthamoeba_castellanii_UniProtRefProteome.fasta.gz && gunzip Acanthamoeba_castellanii_UniProtRefProteome.fasta.gz && echo Done!	Acanthamoeba_castellanii_UniProtRefProteome.fasta
Dictyostelium_discoideum	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000002195/UP000002195_44689.fasta.gz	echo 'Downloading proteome for Dictyostelium_discoideum.' && curl 'https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000002195/UP000002195_44689.fasta.gz' > Dictyostelium_discoideum_UniProtRefProteome.fasta.gz && gunzip Dictyostelium_discoideum_UniProtRefProteome.fasta.gz && echo Done!	Dictyostelium_discoideum_UniProtRefProteome.fasta
Thecamonas_trahens	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000054408/UP000054408_461836.fasta.gz	echo 'Downloading proteome for Thecamonas_trahens.' && curl 'https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000054408/UP000054408_461836.fasta.gz' > Thecamonas_trahens_UniProtRefProteome.fasta.gz && gunzip Thecamonas_trahens_UniProtRefProteome.fasta.gz && echo Done!	Thecamonas_trahens_UniProtRefProteome.fasta
Chlamydomonas_reinhardtii	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000006906/UP000006906_3055.fasta.gz	echo 'Downloading proteome for Chlamydomonas_reinhardtii.' && curl 'https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000006906/UP000006906_3055.fasta.gz' > Chlamydomonas_reinhardtii_UniProtRefProteome.fasta.gz && gunzip Chlamydomonas_reinhardtii_UniProtRefProteome.fasta.gz && echo Done!	Chlamydomonas_reinhardtii_UniProtRefProteome.fasta
Chlamydomonas_eustigma	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000232323/UP000232323_1157962.fasta.gz	echo 'Downloading proteome for Chlamydomonas_eustigma.' && curl 'https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000232323/UP000232323_1157962.fasta.gz' > Chlamydomonas_eustigma_UniProtRefProteome.fasta.gz && gunzip Chlamydomonas_eustigma_UniProtRefProteome.fasta.gz && echo Done!	Chlamydomonas_eustigma_UniProtRefProteome.fasta
Tetradesmus_obliquus	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000256970/UP000256970_3088.fasta.gz	echo 'Downloading proteome for Tetradesmus_obliquus.' && curl 'https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000256970/UP000256970_3088.fasta.gz' > Tetradesmus_obliquus_UniProtRefProteome.fasta.gz && gunzip Tetradesmus_obliquus_UniProtRefProteome.fasta.gz && echo Done!	Tetradesmus_obliquus_UniProtRefProteome.fasta
Gonium_pectorale	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000075714/UP000075714_33097.fasta.gz	echo 'Downloading proteome for Gonium_pectorale.' && curl 'https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000075714/UP000075714_33097.fasta.gz' > Gonium_pectorale_UniProtRefProteome.fasta.gz && gunzip Gonium_pectorale_UniProtRefProteome.fasta.gz && echo Done!	Gonium_pectorale_UniProtRefProteome.fasta
Raphidocelis_subcapitata	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000247498/UP000247498_307507.fasta.gz	echo 'Downloading proteome for Raphidocelis_subcapitata.' && curl 'https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000247498/UP000247498_307507.fasta.gz' > Raphidocelis_subcapitata_UniProtRefProteome.fasta.gz && gunzip Raphidocelis_subcapitata_UniProtRefProteome.fasta.gz && echo Done!	Raphidocelis_subcapitata_UniProtRefProteome.fasta
Volvox_carteri	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000001058/UP000001058_3068.fasta.gz	echo 'Downloading proteome for Volvox_carteri.' && curl 'https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000001058/UP000001058_3068.fasta.gz' > Volvox_carteri_UniProtRefProteome.fasta.gz && gunzip Volvox_carteri_UniProtRefProteome.fasta.gz && echo Done!	Volvox_carteri_UniProtRefProteome.fasta
Chloropicon_primus	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000316726/UP000316726_1764295.fasta.gz	echo 'Downloading proteome for Chloropicon_primus.' && curl 'https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000316726/UP000316726_1764295.fasta.gz' > Chloropicon_primus_UniProtRefProteome.fasta.gz && gunzip Chloropicon_primus_UniProtRefProteome.fasta.gz && echo Done!	Chloropicon_primus_UniProtRefProteome.fasta
Micromonas_pusilla	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000001876/UP000001876_564608.fasta.gz	echo 'Downloading proteome for Micromonas_pusilla.' && curl 'https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000001876/UP000001876_564608.fasta.gz' > Micromonas_pusilla_UniProtRefProteome.fasta.gz && gunzip Micromonas_pusilla_UniProtRefProteome.fasta.gz && echo Done!	Micromonas_pusilla_UniProtRefProteome.fasta
Ostreococcus_tauri	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000009170/UP000009170_70448.fasta.gz	echo 'Downloading proteome for Ostreococcus_tauri.' && curl 'https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000009170/UP000009170_70448.fasta.gz' > Ostreococcus_tauri_UniProtRefProteome.fasta.gz && gunzip Ostreococcus_tauri_UniProtRefProteome.fasta.gz && echo Done!	Ostreococcus_tauri_UniProtRefProteome.fasta
Chlorella_sorokiniana	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000239899/UP000239899_3076.fasta.gz	echo 'Downloading proteome for Chlorella_sorokiniana.' && curl 'https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000239899/UP000239899_3076.fasta.gz' > Chlorella_sorokiniana_UniProtRefProteome.fasta.gz && gunzip Chlorella_sorokiniana_UniProtRefProteome.fasta.gz && echo Done!	Chlorella_sorokiniana_UniProtRefProteome.fasta
Amborella_trichopoda	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000017836/UP000017836_13333.fasta.gz	echo 'Downloading proteome for Amborella_trichopoda.' && curl 'https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000017836/UP000017836_13333.fasta.gz' > Amborella_trichopoda_UniProtRefProteome.fasta.gz && gunzip Amborella_trichopoda_UniProtRefProteome.fasta.gz && echo Done!	Amborella_trichopoda_UniProtRefProteome.fasta
Arabidopsis_thaliana	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000006548/UP000006548_3702.fasta.gz	echo 'Downloading proteome for Arabidopsis_thaliana.' && curl 'https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000006548/UP000006548_3702.fasta.gz' > Arabidopsis_thaliana_UniProtRefProteome.fasta.gz && gunzip Arabidopsis_thaliana_UniProtRefProteome.fasta.gz && echo Done!	Arabidopsis_thaliana_UniProtRefProteome.fasta
Marchantia_polymorpha	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000077202/UP000077202_1480154.fasta.gz	echo 'Downloading proteome for Marchantia_polymorpha.' && curl 'https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000077202/UP000077202_1480154.fasta.gz' > Marchantia_polymorpha_UniProtRefProteome.fasta.gz && gunzip Marchantia_polymorpha_UniProtRefProteome.fasta.gz && echo Done!	Marchantia_polymorpha_UniProtRefProteome.fasta
Physcomitrium_patens	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000006727/UP000006727_3218.fasta.gz	echo 'Downloading proteome for Physcomitrium_patens.' && curl 'https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000006727/UP000006727_3218.fasta.gz' > Physcomitrium_patens_UniProtRefProteome.fasta.gz && gunzip Physcomitrium_patens_UniProtRefProteome.fasta.gz && echo Done!	Physcomitrium_patens_UniProtRefProteome.fasta
Populus_trichocarpa	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000006729/UP000006729_3694.fasta.gz	echo 'Downloading proteome for Populus_trichocarpa.' && curl 'https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000006729/UP000006729_3694.fasta.gz' > Populus_trichocarpa_UniProtRefProteome.fasta.gz && gunzip Populus_trichocarpa_UniProtRefProteome.fasta.gz && echo Done!	Populus_trichocarpa_UniProtRefProteome.fasta
Selaginella_moellendorffii	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000001514/UP000001514_88036.fasta.gz	echo 'Downloading proteome for Selaginella_moellendorffii.' && curl 'https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000001514/UP000001514_88036.fasta.gz' > Selaginella_moellendorffii_UniProtRefProteome.fasta.gz && gunzip Selaginella_moellendorffii_UniProtRefProteome.fasta.gz && echo Done!	Selaginella_moellendorffii_UniProtRefProteome.fasta
Guillardia_theta	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000011087/UP000011087_905079.fasta.gz	echo 'Downloading proteome for Guillardia_theta.' && curl 'https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000011087/UP000011087_905079.fasta.gz' > Guillardia_theta_UniProtRefProteome.fasta.gz && gunzip Guillardia_theta_UniProtRefProteome.fasta.gz && echo Done!	Guillardia_theta_UniProtRefProteome.fasta
Bodo_saltans	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000051952/UP000051952_75058.fasta.gz	echo 'Downloading proteome for Bodo_saltans.' && curl 'https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000051952/UP000051952_75058.fasta.gz' > Bodo_saltans_UniProtRefProteome.fasta.gz && gunzip Bodo_saltans_UniProtRefProteome.fasta.gz && echo Done!	Bodo_saltans_UniProtRefProteome.fasta
Leishmania_major	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000000542/UP000000542_5664.fasta.gz	echo 'Downloading proteome for Leishmania_major.' && curl 'https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000000542/UP000000542_5664.fasta.gz' > Leishmania_major_UniProtRefProteome.fasta.gz && gunzip Leishmania_major_UniProtRefProteome.fasta.gz && echo Done!	Leishmania_major_UniProtRefProteome.fasta
Trypanosoma_brucei	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000008524/UP000008524_185431.fasta.gz	echo 'Downloading proteome for Trypanosoma_brucei.' && curl 'https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000008524/UP000008524_185431.fasta.gz' > Trypanosoma_brucei_UniProtRefProteome.fasta.gz && gunzip Trypanosoma_brucei_UniProtRefProteome.fasta.gz && echo Done!	Trypanosoma_brucei_UniProtRefProteome.fasta
Perkinsela_sp_CCAP1560-4	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000036983/UP000036983_1314962.fasta.gz	echo 'Downloading proteome for Perkinsela_sp_CCAP1560-4.' && curl 'https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000036983/UP000036983_1314962.fasta.gz' > Perkinsela_sp_CCAP1560-4_UniProtRefProteome.fasta.gz && gunzip Perkinsela_sp_CCAP1560-4_UniProtRefProteome.fasta.gz && echo Done!	Perkinsela_sp_CCAP1560-4_UniProtRefProteome.fasta
Giardia_intestinalis	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000001548/UP000001548_184922.fasta.gz	echo 'Downloading proteome for Giardia_intestinalis.' && curl 'https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000001548/UP000001548_184922.fasta.gz' > Giardia_intestinalis_UniProtRefProteome.fasta.gz && gunzip Giardia_intestinalis_UniProtRefProteome.fasta.gz && echo Done!	Giardia_intestinalis_UniProtRefProteome.fasta
Kipferlia_bialata	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000265618/UP000265618_797122.fasta.gz	echo 'Downloading proteome for Kipferlia_bialata.' && curl 'https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000265618/UP000265618_797122.fasta.gz' > Kipferlia_bialata_UniProtRefProteome.fasta.gz && gunzip Kipferlia_bialata_UniProtRefProteome.fasta.gz && echo Done!	Kipferlia_bialata_UniProtRefProteome.fasta
Spironucleus_salmonicida	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000018208/UP000018208_348837.fasta.gz	echo 'Downloading proteome for Spironucleus_salmonicida.' && curl 'https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000018208/UP000018208_348837.fasta.gz' > Spironucleus_salmonicida_UniProtRefProteome.fasta.gz && gunzip Spironucleus_salmonicida_UniProtRefProteome.fasta.gz && echo Done!	Spironucleus_salmonicida_UniProtRefProteome.fasta
Chrysochromulina_tobinii	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000037460/UP000037460_1460289.fasta.gz	echo 'Downloading proteome for Chrysochromulina_tobinii.' && curl 'https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000037460/UP000037460_1460289.fasta.gz' > Chrysochromulina_tobinii_UniProtRefProteome.fasta.gz && gunzip Chrysochromulina_tobinii_UniProtRefProteome.fasta.gz && echo Done!	Chrysochromulina_tobinii_UniProtRefProteome.fasta
