Num	Domain	Name_to_Use	InEukProtV3	InTCS	EukProt_ID	UniProt_Proteome_ID	UP_RefProt	Actions_Needed	Changes_Vs_EukProtV3	Filtering_Applied	NumProts_PreFilt	NumProts_PostFilt	PropProts_Retained	Genus_UniEuk	Epithet_UniEuk	Supergroup_UniEuk	Taxogroup1_UniEuk	Taxogroup2_UniEuk	Actions_Prior_to_Use_EukProt	Data_Source_Type_EukProt	Taxonomy_UniEuk	Data_Source_URL	Original_Filename	New_Data_Citation	TaxSpecific_Busco_Complete	TaxSpecific_Busco_Single	TaxSpecific_Busco_Duplicated	TaxSpecific_Busco_Fragmented	TaxSpecific_Busco_Missing	Euk_Busco_Complete	Euk_Busco_Single	Euk_Busco_Duplicated	Euk_Busco_Fragmented	Euk_Busco_Missing																
11	Eukaryota	Paramecium_tetraurelia	TRUE	TRUE	EP00334	UP000000600	TRUE	"Download UniProt reference proteome, BUSCO"	UniProt reference proteome	Remove prots < 20 AA;None	39461	39461	1	Paramecium	tetraurelia	Alveolata	Ciliophora	Oligohymenophorea	none	genome	Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'OP clade';Oligohymenophorea;Peniculia;Paramecium;Paramecium tetraurelia;strain d4-2	https://ftp.ebi.ac.uk/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000000600/UP000000600_5888.fasta.gz	Paramecium_tetraurelia_UniProtRefProteome.fasta																											
12	Eukaryota	Protocruzia_adherens	TRUE	TRUE	EP00357	NA	NA	BUSCO	None	Remove prots < 20 AA;Extract longest isoform;CD-HIT 0.90	37897	22284	0.588014882	Protocruzia	adherens	Alveolata	Ciliophora	Protocruzia	none	transcriptome	Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;Protocruziidae;Protocruzia;Protocruzia adherens;strain Boccale	https://doi.org/10.6084/m9.figshare.12410606	EP00357_Protocruzia_adherens.fasta																											
13	Eukaryota	Sterkiella_histriomuscorum	TRUE	TRUE	EP00347	NA	NA	BUSCO	None	Remove prots < 20 AA;CD-HIT 0.95	24578	21217	0.863251689	Sterkiella	histriomuscorum	Alveolata	Ciliophora	Spirotrichea	transeq	genome	Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'SAL';Spirotrichea;Perilemmaphora;Hypotrichia;'core oxytrichids';'Sterkiella clade';Sterkiella histriomuscorum;strain BA	https://www.ncbi.nlm.nih.gov/genome/347?genome_assembly_id=260499	EP00347_Sterkiella_histriomuscorum.fasta																											
14	Eukaryota	Oxytricha_trifallax	TRUE	FALSE	EP00810	UP000006077	TRUE	"Download UniProt reference proteome, BUSCO"	UniProt reference proteome	Remove prots < 20 AA;None	23559	23559	1	Oxytricha	trifallax	Alveolata	Ciliophora	Spirotrichea	none	genome	Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'SAL';Spirotrichea;Perilemmaphora;Hypotrichia;'core oxytrichids';'Sterkiella clade';Sterkiella;Oxytricha trifallax;strain JRB310	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000006077/UP000006077_1172189.fasta.gz	Oxytricha_trifallax_UniProtRefProteome.fasta																											
15	Eukaryota	Chromera_velia	TRUE	TRUE	EP00820	NA	NA	BUSCO	None	Remove prots < 20 AA;Extract longest isoform;CD-HIT 0.95	31799	28042	0.881851631	Chromera	velia	Alveolata	Colpodellida	Colpodellida	none	genome	Eukaryota;Diaphoretickes;Sar;Alveolata;Myzozoa;'AC clade';Colpodellida;Chromeraceae;Chromera;Chromera velia;strain CCMP-2878	https://cryptodb.org/common/downloads/Current_Release/CveliaCCMP2878/fasta/data/CryptoDB-48_CveliaCCMP2878_AnnotatedProteins.fasta	EP00820_Chromera_velia.fasta																											
16	Eukaryota	Vitrella_brassicaformis	TRUE	TRUE	EP00390	UP000041254	TRUE	"Download UniProt reference proteome, BUSCO"	UniProt reference proteome	Remove prots < 20 AA;None	23030	23029	0.999956578	Vitrella	brassicaformis	Alveolata	Colpodellida	Colpodellida	none	genome	Eukaryota;Diaphoretickes;Sar;Alveolata;Myzozoa;'AC clade';Colpodellida;Vitrellaceae;Vitrella;Vitrella brassicaformis;strain CCMP-3155	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000041254/UP000041254_1169540.fasta.gz	Vitrella_brassicaformis_UniProtRefProteome.fasta																											
17	Eukaryota	Colponemidia_sp_Colp-10	TRUE	TRUE	EP00742	NA	NA	BUSCO	None	Remove prots < 20 AA;CD-HIT 0.90	35749	35675	0.997930012	NA	NA	Alveolata	colponemids	Colponemidae	translate mRNA	transcriptome	Eukaryota;Diaphoretickes;Sar;Alveolata;Colponemidae;'MPE2-45 clade';strain Colp-10	https://sra-download.ncbi.nlm.nih.gov/traces/wgs01/wgs_aux/GI/LJ/GILJ01/GILJ01.1.fsa_nt.gz	EP00742_Colponemidia_sp_Colp-10.fasta																											
18	Eukaryota	Colponemidia_sp_Colp-15	TRUE	TRUE	EP00743	NA	NA	BUSCO	None	Remove prots < 20 AA;CD-HIT 0.90	26889	26863	0.999033062	NA	NA	Alveolata	colponemids	Colponemidae	translate mRNA	transcriptome	Eukaryota;Diaphoretickes;Sar;Alveolata;Colponemidae;'MPE2-45 clade';strain Colp-15	https://sra-download.ncbi.nlm.nih.gov/traces/wgs01/wgs_aux/GI/LK/GILK01/GILK01.1.fsa_nt.gz	EP00743_Colponemidia_sp_Colp-15.fasta																											
19	Eukaryota	Colponema_vietnamica	TRUE	TRUE	EP00744	NA	NA	BUSCO	None	Remove prots < 20 AA;CD-HIT 0.90	43388	43335	0.998778464	Colponema	vietnamica	Alveolata	colponemids	Colponemidae	translate mRNA	transcriptome	Eukaryota;Diaphoretickes;Sar;Alveolata;Colponemidae;Colponema;Colponema vietnamica;strain Colp-7a	https://sra-download.ncbi.nlm.nih.gov/traces/wgs01/wgs_aux/GI/LI/GILI01/GILI01.1.fsa_nt.gz	EP00744_Colponema_vietnamica.fasta																											
20	Eukaryota	Alexandrium_tamarense	TRUE	FALSE	EP00970	NA	NA	BUSCO	None	Remove prots < 20 AA;CD-HIT 0.95	20916	20283	0.969736087	Alexandrium	tamarense	Alveolata	Dinoflagellata	Dinophyceae	none	genome	Eukaryota;Diaphoretickes;Sar;Alveolata;Myzozoa;'DP clade';Dinoflagellata;Dinophyceae;Gonyaulacales;'core G';'AO clade';Alexandrium;'Aaffine clade';'Atamarense complex';Alexandrium tamarense;strain CCMP-1771	https://doi.org/10.5061/dryad.7wm37pvnv	EP00970_Alexandrium_tamarense.fasta																											
21	Eukaryota	Hematodinium_sp_SG-2012	TRUE	TRUE	EP00397	NA	NA	BUSCO	None	Remove prots < 20 AA;CD-HIT 0.90	73635	27851	0.378230461	Hematodinium	NA	Alveolata	Dinoflagellata	MALV-IV	translate mRNA	transcriptome	Eukaryota;Diaphoretickes;Sar;Alveolata;Myzozoa;'DP clade';Dinoflagellata;'core syndiniales';'MALV-IV';Hematodinium;strain SG-2012	ftp://ftp.ncbi.nlm.nih.gov/sra/wgs_aux/GE/MP/GEMP01/GEMP01.1.fsa_nt.gz	EP00397_Hematodinium_sp_SG-2012.fasta																											
22	Eukaryota	Oxyrrhis_marina	TRUE	TRUE	EP00451	NA	NA	BUSCO	None	Remove prots < 20 AA;Extract longest isoform;CD-HIT 0.90	55005	54905	0.998181983	Oxyrrhis	marina	Alveolata	Dinoflagellata	Oxyrrhis	CD-HIT	transcriptome	Eukaryota;Diaphoretickes;Sar;Alveolata;Myzozoa;'DP clade';Dinoflagellata;Oxyrrhis;Oxyrrhis marina	https://doi.org/10.6084/m9.figshare.12410606	EP00451_Oxyrrhis_marina.fasta																											
23	Eukaryota	Perkinsus_marinus	TRUE	TRUE	EP00454	UP000007800	TRUE	"Download UniProt reference proteome, BUSCO"	UniProt reference proteome	Remove prots < 20 AA;None	22958	22946	0.999477306	Perkinsus	marinus	Alveolata	Perkinsea	Perkinsea	none	genome	Eukaryota;Diaphoretickes;Sar;Alveolata;Myzozoa;'DP clade';Perkinsea;Perkinsidae;Perkinsus;Perkinsus marinus;strain ATCC-50983	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000007800/UP000007800_423536.fasta.gz	Perkinsus_marinus_UniProtRefProteome.fasta																											
24	Eukaryota	Entamoeba_histolytica	TRUE	TRUE	EP00015	UP000001926	TRUE	"Download UniProt reference proteome, BUSCO"	UniProt reference proteome	Remove prots < 20 AA;	7959	7959	1	Entamoeba	histolytica	Amoebozoa	Archamoebea	Entamoeba	none	genome	Eukaryota;Amorphea;Amoebozoa;Evosea;Archamoebea;Entamoebidae;Entamoeba;'core entamoebids';'Edispar lineage';Entamoeba histolytica;strain HM-1-IMSS	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000001926/UP000001926_294381.fasta.gz	Entamoeba_histolytica_UniProtRefProteome.fasta																											
25	Eukaryota	Mastigamoeba_balamuthi	TRUE	TRUE	EP00727	NA	NA	BUSCO	None	Remove prots < 20 AA;CD-HIT 0.95	14858	14242	0.958540853	Mastigamoeba	balamuthi	Amoebozoa	Archamoebea	Mastigamoebida	none	genome	Eukaryota;Amorphea;Amoebozoa;Evosea;Archamoebea;Mastigamoebida;'mastigamoebids A';Mastigamoeba balamuthi;strain ATCC-30984	https://bioinformatics.psb.ugent.be/gdb/mastigamoeba/Masba_prot_LATEST.tfa.gz	EP00727_Mastigamoeba_balamuthi.fasta																											
26	Eukaryota	Acanthamoeba_castellanii	TRUE	TRUE	EP00006	UP000011083	TRUE	"Download UniProt reference proteome, BUSCO"	UniProt reference proteome	Remove prots < 20 AA;	14938	14937	0.999933057	Acanthamoeba	castellanii	Amoebozoa	Centramoebia	Acanthopodida	none	genome	Eukaryota;Amorphea;Amoebozoa;Discosea;Centramoebia;'core centramoebids';Acanthopodida;Acanthamoeba;'Acastellanii clade';Acanthamoeba castellanii;strain Neff	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000011083/UP000011083_1257118.fasta.gz	Acanthamoeba_castellanii_UniProtRefProteome.fasta																											
27	Eukaryota	Dracoamoeba_jomungandri	TRUE	TRUE	EP00005	NA	NA	BUSCO	None	Remove prots < 20 AA;Extract longest isoform;CD-HIT 0.90	15003	14897	0.992934746	Dracoamoeba	jomungandri	Amoebozoa	Centramoebia	Acanthopodida	none	transcriptome	Eukaryota;Amorphea;Amoebozoa;Discosea;Centramoebia;'core centramoebids';Acanthopodida;'DLPV clade';Dracoamoeba;Dracoamoeba jomungandri;strain Chinc5	https://doi.org/10.6084/m9.figshare.12410606	EP00005_Dracoamoeba_jomungandri.fasta																											
28	Eukaryota	Dictyostelium_discoideum	TRUE	TRUE	EP00023	UP000002195	TRUE	"Download UniProt reference proteome, BUSCO"	UniProt reference proteome	Remove prots < 20 AA;	12727	12725	0.999842854	Dictyostelium	discoideum	Amoebozoa	Eumycetozoa	Dictyostelia	none	genome	Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Dictyostelia;Dictyosteliales;Dictyosteliaceae;Dictyostelium;Dictyostelium discoideum;strain AX4	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000002195/UP000002195_44689.fasta.gz	Dictyostelium_discoideum_UniProtRefProteome.fasta																											
29	Eukaryota	Arcella_intermedia	TRUE	TRUE	EP01124	NA	NA	BUSCO	None	Remove prots < 20 AA;Extract longest isoform;CD-HIT 0.90	37366	27126	0.725954076	Arcella	intermedia	Amoebozoa	Tubulinea	Arcellinida	"assemble mRNA,translate mRNA"	transcriptome	Eukaryota;Amorphea;Amoebozoa;Tubulinea;Elardia;Arcellinida;'core arcellinids';Sphaerothecina;Arcella;Arcella intermedia;strain USP-Arcevulg	https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR5396453	EP01124_Arcella_intermedia.fasta																											
30	Eukaryota	Vermamoeba_vermiformis	TRUE	TRUE	EP00029	NA	NA	BUSCO	None	Remove prots < 20 AA;Extract longest isoform;CD-HIT 0.90	14884	13297	0.893375437	Vermamoeba	vermiformis	Amoebozoa	Tubulinea	Echinamoebidia	"assemble mRNA,translate mRNA"	transcriptome	Eukaryota;Amorphea;Amoebozoa;Tubulinea;Echinamoebidia;Vermamoeba;Vermamoeba vermiformis;strain 4391-Kostka	https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR5396399	EP00029_Vermamoeba_vermiformis.fasta																											
31	Eukaryota	Amoeba_proteus	TRUE	TRUE	EP01126	NA	NA	BUSCO	None	Remove prots < 20 AA;Extract longest isoform;CD-HIT 0.90	67580	22741	0.336504883	Amoeba	proteus	Amoebozoa	Tubulinea	Euamoebida	"assemble mRNA,translate mRNA"	transcriptome	Eukaryota;Amorphea;Amoebozoa;Tubulinea;Elardia;Euamoebida;'core euamoebids';Amoebidae;Amoeba;Amoeba proteus;strain	https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR5396451	EP01126_Amoeba_proteus.fasta																											
32	Eukaryota	Soliformovum_irregulare	TRUE	FALSE	EP01119	NA	NA	BUSCO	None	Remove prots < 20 AA;Extract longest isoform;CD-HIT 0.90	26282	16767	0.637965147	Soliformovum	irregulare	Amoebozoa	Variosea	Variosea	"assemble mRNA,translate mRNA"	transcriptome	Eukaryota;Amorphea;Amoebozoa;Evosea;Variosea;Soliformoviidae;Soliformovum;Soliformovum irregulare;strain ATCC-26826	https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR5396406	EP01119_Soliformovum_irregulare.fasta																											
33	Eukaryota	Anaeramoeba_flamelloides	TRUE	TRUE	EP01155	NA	NA	BUSCO	None	Remove prots < 20 AA;Extract longest isoform;CD-HIT 0.90	60677	34752	0.572737611	Anaeramoeba	flamelloides	Anaeramoebidae	Anaeramoebidae	Anaeramoebidae	none	transcriptome	Eukaryota;Metamonada;'AP clade';Anaeramoebidae;Anaeramoeba;'Aflamelloides clade';Anaeramoeba flamelloides;strain BUSSELTON2	https://doi.org/10.6084/m9.figshare.12205517.v1	EP01155_Anaeramoeba_flamelloides.fasta																											
34	Eukaryota	Anaeramoeba_ignava	TRUE	TRUE	EP01156	NA	NA	BUSCO	None	Remove prots < 20 AA;Extract longest isoform;CD-HIT 0.90	24544	22096	0.900260756	Anaeramoeba	ignava	Anaeramoebidae	Anaeramoebidae	Anaeramoebidae	none	transcriptome	Eukaryota;Metamonada;'AP clade';Anaeramoebidae;Anaeramoeba;'Aignava clade';Anaeramoeba ignava;strain BMAN	https://doi.org/10.6084/m9.figshare.12205517.v1	EP01156_Anaeramoeba_ignava.fasta																											
35	Eukaryota	Ancoracysta_twista	TRUE	TRUE	EP00164	NA	NA	BUSCO	None	Remove prots < 20 AA;CD-HIT 0.90	38623	38614	0.999766978	Ancoracysta	twista	Ancoracysta	Ancoracysta	Ancoracysta	translate mRNA	transcriptome	Eukaryota;Diaphoretickes;Haptista;Ancoracysta;Ancoracysta twista;strain TD-1	ftp://ftp.ncbi.nlm.nih.gov/sra/wgs_aux/GF/YU/GFYU01/GFYU01.1.fsa_nt.gz	EP00164_Ancoracysta_twista.fasta																											
36	Eukaryota	Ancyromonas_sigmoides	TRUE	TRUE	EP00161	NA	NA	BUSCO	None	Remove prots < 20 AA;Extract longest isoform;CD-HIT 0.90	27616	19900	0.720596756	Ancyromonas	sigmoides	Ancyromonadida	Ancyromonadida	Ancyromonadida	"assemble mRNA,translate mRNA"	transcriptome	Eukaryota;Ancyromonadida;Ancyromonadidae;Ancyromonas;Ancyromonas sigmoides;strain CCAP-1958/3	https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR5997436	EP00161_Ancyromonas_sigmoides.fasta																											
37	Eukaryota	Fabomonas_tropica	TRUE	TRUE	EP00163	NA	NA	BUSCO	None	Remove prots < 20 AA;Extract longest isoform;CD-HIT 0.90	34935	27543	0.788407042	Fabomonas	tropica	Ancyromonadida	Ancyromonadida	Ancyromonadida	"assemble mRNA,translate mRNA"	transcriptome	Eukaryota;Ancyromonadida;Fabomonas;Fabomonas tropica;strain NYK3C	https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR5997437	EP00163_Fabomonas_tropica.fasta																											
38	Eukaryota	Nutomonas_longa	TRUE	TRUE	EP00162	NA	NA	BUSCO	None	Remove prots < 20 AA;Extract longest isoform;CD-HIT 0.90	25316	19488	0.769789856	Nutomonas	longa	Ancyromonadida	Ancyromonadida	Ancyromonadida	none	transcriptome	Eukaryota;Ancyromonadida;Ancyromonadidae;Nutomonas;Nutomonas longa;strain CCAP-1958/5	https://figshare.com/articles/Transcriptome_-_Nutomonas_longa/4560862	EP00162_Nutomonas_longa.fasta																											
39	Eukaryota	Manchomonas_bermudensis	TRUE	FALSE	EP01139	NA	NA	BUSCO	None	Remove prots < 20 AA;CD-HIT 0.90	28077	28052	0.999109591	Manchomonas	bermudensis	Apusomonadida	Apusomonadida	Apusomonadida	none	EST	Eukaryota;Amorphea;Obazoa;Apusomonadida;Manchomonas;Manchomonas bermudensis;strain ATCC-50234	https://figshare.com/articles/dataset/Data_Associated_with_PhyloFisher/15141900/1	EP01139_Manchomonas_bermudensis.fasta																											
40	Eukaryota	Apusomonadida_sp_AF-17	TRUE	TRUE	EP00030	NA	NA	BUSCO	None	Remove prots < 20 AA;Extract longest isoform;CD-HIT 0.90	8975	8967	0.999108635	NA	NA	Apusomonadida	Apusomonadida	Apusomonadida	translate mRNA	transcriptome	Eukaryota;Amorphea;Obazoa;Apusomonadida;'APU-21 lineage';strain AF-17	https://datadryad.org/bitstream/handle/10255/dryad.103230/Amastigomonas_sp_transcriptome.fasta.zip	EP00030_Apusomonadida_sp_AF-17.fasta																											
41	Eukaryota	Thecamonas_trahens	TRUE	TRUE	EP00031	UP000054408	TRUE	"Download UniProt reference proteome, BUSCO"	UniProt reference proteome	Remove prots < 20 AA;None	10533	10533	1	Thecamonas	trahens	Apusomonadida	Apusomonadida	Apusomonadida	none	genome	Eukaryota;Amorphea;Obazoa;Apusomonadida;Thecamonadinae;Thecamonas;Thecamonas trahens;strain ATCC-50062	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000054408/UP000054408_461836.fasta.gz	Thecamonas_trahens_UniProtRefProteome.fasta																											
42	Eukaryota	Barthelona_sp_PAP020	TRUE	TRUE	EP00792	NA	NA	BUSCO	None	Remove prots < 20 AA;Extract longest isoform;CD-HIT 0.90	14291	11431	0.799874047	Barthelona	NA	Barthelona	Barthelona	Barthelona	translate mRNA (min length 50)	transcriptome	Eukaryota;Metamonada;'BF clade';Barthelona;strain PAP020	https://doi.org/10.5061/dryad.3tx95x6bn	EP00792_Barthelona_sp_PAP020.fasta																											
43	Eukaryota	Lenisia_limosa	TRUE	TRUE	EP01086	NA	NA	BUSCO	None	Remove prots < 20 AA;Extract longest isoform;CD-HIT 0.90	18279	15975	0.873953717	Lenisia	limosa	Breviatea	Breviatea	Breviatea	"assemble mRNA,translate mRNA"	transcriptome	Eukaryota;Amorphea;Obazoa;Breviatea;Lenisia;Lenisia limosa;strain LL-12	https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR2018117	EP01086_Lenisia_limosa.fasta																											
44	Eukaryota	Pygsuia_biforma	TRUE	TRUE	EP00033	NA	NA	BUSCO	None	Remove prots < 20 AA;Extract longest isoform;CD-HIT 0.90	9511	9503	0.999158869	Pygsuia	biforma	Breviatea	Breviatea	Breviatea	translate mRNA	transcriptome	Eukaryota;Amorphea;Obazoa;Breviatea;Pygsuia;Pygsuia biforma;strain PCbi66	ftp://ftp.ncbi.nlm.nih.gov/sra/wgs_aux/GC/RY/GCRY01/GCRY01.1.fsa_nt.gz	EP00033_Pygsuia_biforma.fasta																											
